tkey,trans_no,date,account,amount,payee,detail,payment_method,cheque,notes,cleared,member_1,group,c_name
1,TRN001,15/01/2025,Sales,13.00,J Smith,First payment,Card,,,,,,
2,TRN002,15/01/2025,Sales,13.00,J Smith,Second payment,Card,,,,,,
3,TRN003,16/01/2025,Services,13.00,A Jones,Monthly subscription,Card,,,,,,
4,TRN004,17/01/2025,Sales,9.50,M Brown,Product purchase,Card,,,,,,
5,TRN005,18/01/2025,Services,32.00,S Taylor,Main payment,Card,,,,,,
6,TRN006,18/01/2025,Services,13.50,S Taylor,Additional charge,Card,,,,,,
7,TRN007,19/01/2025,Services,13.00,K Wilson,Service fee,Card,,,,,,
8,TRN008,19/01/2025,Sales,9.50,K Wilson,Extra item,Card,,,,,,
9,TRN009,20/01/2025,Transfers,13.00,R Davis,Regular transfer,Card,,,,,,
10,TRN010,21/01/2025,Sales,25.00,P Miller,Part one,Card,,,,,,
11,TRN011,21/01/2025,Sales,13.00,P Miller,Part two,Card,,,,,,
12,TRN012,22/01/2025,Sales,9.50,L Anderson,Standard purchase,Card,,,,,,
13,TRN013,23/01/2025,Services,75.25,E Thomas,Full amount,Card,,,,,,
14,TRN014,24/01/2025,Sales,9.50,M Jackson,Item one,Card,,,,,,
15,TRN015,24/01/2025,Sales,9.50,M Jackson,Item two,Card,,,,,,
16,TRN016,25/01/2025,Services,13.00,C White,First installment,Card,,,,,,
17,TRN017,25/01/2025,Services,13.00,C White,Second installment,Card,,,,,,
18,TRN018,26/01/2025,Services,13.00,N Harris,Standard fee,Card,,,,,,
19,TRN019,27/01/2025,Sales,39.75,D Martin,Main purchase,Card,,,,,,
20,TRN020,27/01/2025,Sales,13.00,D Martin,Additional item,Card,,,,,,
21,TRN021,28/01/2025,Sales,9.50,B Thompson,Regular order,Card,,,,,,
22,TRN022,29/01/2025,Transfers,100.00,F Garcia,Large transfer,Card,,,,,,
23,TRN023,30/01/2025,Services,18.50,H Martinez,First part,Card,,,,,,
24,TRN024,30/01/2025,Services,13.00,H Martinez,Second part,Card,,,,,,
25,TRN025,31/01/2025,Services,13.00,I Robinson,Monthly fee,Card,,,,,,
26,TRN026,01/02/2025,Sales,54.30,V Clark,Main order,Card,,,,,,
27,TRN027,01/02/2025,Sales,13.00,V Clark,Shipping,Card,,,,,,
28,TRN028,02/02/2025,Transfers,12.00,W Rodriguez,Part A,Card,,,,,,
29,TRN029,02/02/2025,Transfers,13.00,W Rodriguez,Part B,Card,,,,,,
30,TRN030,03/02/2025,Sales,9.50,X Lewis,Item alpha,Card,,,,,,
31,TRN031,03/02/2025,Sales,9.00,X Lewis,Item beta,Card,,,,,,
32,TRN032,04/02/2025,Sales,13.00,Y Adams,Unmatched entry,Card,,,,,,
33,TRN033,05/02/2025,Sales,9.50,Z Baker,Another unmatched,Card,,,,,,
